Date,N225,STOXX50E,NDX,GSPC
2017-10-23,21700.12515644556,3603.3459532985717,6068.749821513565,2563.384884846275
2017-10-24,21809.60093896713,3606.06916347731,6079.831201615618,2566.756486099833
2017-10-25,21722.68092105264,3580.0081903878845,6055.547433485623,2555.0985030030943
2017-10-26,21744.85829959514,3633.0741360691145,6039.478016117563,2558.305752840909
2017-10-27,22013.055555555562,3647.973796548592,6212.864332380564,2577.851339683225
2017-10-30,22002.25,3652.9862428348097,6228.932396606575,2570.1895278949537
2017-10-31,22010.68091844814,3678.137066105672,6249.253117870721,2572.670957029787
2017-11-01,22437.51552795031,3695.485896040848,6246.51983646275,2575.719345359826
2017-11-02,22529.86326344576,3684.52739048749,6236.207514530861,2576.610689272997
2017-11-03,22529.86326344576,3683.6137484586934,6292.4953118185795,2584.3016119085955
2017-11-06,22550.764006791167,3679.0938351390737,6314.362097440132,2588.302630679293
2017-11-07,22954.73945409429,3655.6028673489095,6316.924784775713,2587.043246550957
2017-11-08,22922.192066805845,3648.453425993661,6343.802,2591.335011206401
2017-11-09,22864.76377952756,3613.334101751353,6309.4987298431615,2581.952633543021
2017-11-10,22701.743772242004,3587.7748410174877,6308.227617276889,2580.4081644878725
2017-11-13,22393.708513708512,3572.713920425489,6315.164027466369,2582.835646668493
2017-11-14,22399.216867469884,3552.145203434117,6295.234090206983,2577.300086631406
2017-11-15,22059.153175591535,3545.615019157088,6261.0693108974365,2563.6540064918536
2017-11-16,22381.57004830918,3559.902496373005,6345.010051934997,2584.605429800437
2017-11-17,22400.903010033446,3543.9615302047996,6318.966972034716,2577.8553738200444
2017-11-20,22278.953488372088,3559.5211702707616,6313.6801256168665,2581.479483677248
2017-11-21,22436.607142857134,3576.111551698339,6381.409534883721,2597.941811231166
2017-11-22,22534.895191122072,3559.533558782574,6389.467633928572,2595.810991371118
2017-11-23,22534.895191122072,3565.5105225821712,6384.990566037735,2596.7897091722593
2017-11-24,22549.768115942028,3578.7066365007536,6412.876315789474,2600.751509922347
2017-11-27,22491.386554621844,3562.0962899743963,6410.320512820513,2600.908439610712
2017-11-28,22482.80383795309,3582.144701228399,6423.900932775812,2625.733399442299
2017-11-29,22611.09523809524,3586.697866921363,6315.903387978142,2625.515592528765
2017-11-30,22740.46511627907,3572.909294864063,6369.966200095435,2648.2338841644987
2017-12-01,22818.45333333333,3523.3794406074708,6340.210592369477,2642.014786311431
2017-12-04,22672.4,3570.263848524879,6269.021202456886,2639.721340650614
2017-12-05,22591.272727272728,3572.397977470557,6270.212166364343,2629.824823896686
2017-12-06,22128.8790560472,3559.121852861035,6296.451561324304,2629.607018519414
2017-12-07,22475.492537313432,3572.245126055757,6316.594827586207,2636.695218231945
2017-12-08,22776.315789473683,3593.889132553606,6342.770925808497,2651.3420659966378
2017-12-11,22898.25,3567.9970717423134,6412.063343923749,2663.2044241976528
2017-12-12,22839.848484848488,3584.2993852459017,6403.049901185772,2667.3645101385264
2017-12-13,22733.867924528306,3568.888354186718,6416.30079025354,2666.9216184406932
2017-12-14,22660.982142857134,3548.8570253372827,6411.341546178814,2655.720445141636
2017-12-15,22527.682926829268,3549.6670199377363,6480.50803023146,2677.118153228202
2017-12-18,22879.885057471263,3597.991969294361,6535.023447302384,2694.4022825409547
2017-12-19,22841.346153846152,3571.998616669137,6498.631617317183,2684.572995928105
2017-12-20,22869.79166666667,3539.025197038453,6490.169138670479,2682.60207980956
2017-12-21,22821.2987012987,3558.9998431864515,6492.746146586977,2688.312898510372
2017-12-22,22851.66666666667,3540.5033902267946,6488.461182994455,2688.6285139309225
2017-12-25,22899.382716049386,3540.5033902267946,6488.461182994455,2688.6285139309225
2017-12-26,22860.281690140844,3540.5033902267946,6459.707471264368,2686.938283684859
2017-12-27,22900.09756097561,3540.712148148148,6447.53403810409,2684.5975001272845
2017-12-28,22758.856132075467,3507.9266137609425,6449.584716076695,2686.904044128714
2017-12-29,22759.74609375,3491.8415260183915,6409.21403371227,2676.1850340474884
2018-01-02,22759.74609375,3476.0156478028216,6520.011085405821,2695.3172574390965
2018-01-03,22759.74609375,3500.5414248871693,6583.255349038253,2712.0423168178645
2018-01-04,23467.797927461143,3556.341338502937,6595.682429453263,2723.684594940638
2018-01-05,23705.25874125874,3594.001685654499,6661.34069224523,2742.0837888398473
2018-01-08,23705.25874125874,3606.0037322136686,6686.331451275616,2746.9927857589005
2018-01-09,23838.144144144146,3612.306827473426,6687.3737924865845,2751.9633326768744
2018-01-10,23779.575757575763,3594.981305145453,6672.97724532851,2748.820302517013
2018-01-11,23669.844236760124,3586.4686898723107,6715.4743712702475,2767.693776339269
2018-01-12,23639.95381062356,3597.926104572641,6763.402178899082,2786.25824934489
2018-01-15,23699.3661971831,3608.429789708305,6781.538732394367,2794.5884020618555
2018-01-16,23927.08333333333,3607.185055140695,6748.871366698749,2777.6280366699157
2018-01-17,23840.06833712984,3598.5701386355345,6823.10325528856,2804.1399659175268
2018-01-18,23751.041990668746,3605.1607167282177,6824.495474492594,2800.8624089829077
2018-01-19,23778.404669260697,3638.9332489909025,6842.7003382949915,2812.049962887363
2018-01-22,23772.8,3653.8819144092877,6914.875717017208,2834.312493691074
2018-01-23,24110.0,3659.323175227329,6975.565237651445,2841.149006744329
2018-01-24,23929.906103286383,3641.309257916365,6928.9896826941795,2839.57229414892
2018-01-25,23649.83136593592,3617.289691170073,6925.6994505494495,2840.1935618510993
2018-01-26,23590.714285714286,3638.2928613224103,7025.743170234456,2872.2551938192214
2018-01-29,23599.951456310682,3633.684887459807,6998.351636114442,2854.5777960401306
2018-01-30,23269.979550102253,3602.5839861904133,6942.185788479698,2823.9265272730127
2018-01-31,23106.844827586207,3600.221697184485,6961.5760356581,2825.9035646318257
2018-02-01,23471.021671826627,3567.2639618602843,6910.306591386555,2822.668362541386
2018-02-02,23247.483146067407,3520.7352281226617,6765.374877330716,2760.584251678519
2018-02-05,22676.81415929204,3476.572577796963,6513.205850158111,2649.0531899068924
2018-02-06,21561.642259414228,3390.8986581022637,6657.340711462452,2690.573373429723
2018-02-07,21636.602357984993,3452.282854510428,6586.293061674009,2680.971495767425
2018-02-08,21849.286871961103,3357.9720846203168,6312.640601547166,2580.680596530564
2018-02-09,21330.22565320665,3307.074468681657,6401.2157645908055,2615.3843872769185
2018-02-12,21330.22565320665,3372.171812080537,6525.439618644069,2654.1415552285744
2018-02-13,21206.157894736843,3341.0000955977252,6555.193799012489,2661.4682916034394
2018-02-14,21133.27388535032,3375.936069130629,6680.843936877076,2698.3122835814183
2018-02-15,21443.250927070458,3384.9978330718077,6796.401421701861,2729.577346684745
2018-02-16,21683.893129771,3425.784966078697,6777.895355638746,2733.10114764268
2018-02-19,22124.754098360656,3404.481621975147,6781.209183673469,2729.1371722846443
2018-02-20,21884.394366197186,3434.5545982905987,6785.022409500097,2715.8796848758066
2018-02-21,21943.360522022842,3427.3599973534474,6766.220003876721,2701.326991193381
2018-02-22,21711.08108108108,3437.68705310656,6767.932108350586,2703.8910423510933
2018-02-23,21863.77049180328,3438.2193718021613,6898.83878822197,2746.572099571709
2018-02-26,22159.21985815603,3466.074851809812,6989.2714897260275,2779.0032151927962
2018-02-27,22372.376543209877,3452.2228268262816,6909.5361620057865,2745.547018810748
2018-02-28,22111.610169491527,3438.280148845687,6866.780603448276,2714.936118758662
2018-03-01,21698.523925385238,3391.4650950570344,6752.784090909091,2676.1975800615164
2018-03-02,21137.049492385788,3324.3184732180516,6812.738187166759,2691.1671006740803
2018-03-05,20853.46405228758,3358.5746320604608,6886.707828719723,2721.752648015899
2018-03-06,21253.28782001552,3356.7064549849733,6911.569018404908,2726.770089348828
2018-03-07,21069.823529411766,3376.741687141687,6929.318455717489,2726.1020970810296
2018-03-08,21159.2132505176,3414.866492864984,6963.591704987621,2737.951973139273
2018-03-09,21275.83208395802,3415.97793630948,7099.311673280424,2786.126158129176
