Date,Open,Low,High,Close
2016-02-25,15971.185290967507,15940.0,16220.0,16151.535893155258
2016-02-26,16333.349849202932,16180.0,16470.0,16198.813559322034
2016-02-29,16345.390047074648,16050.0,16470.0,16061.266666666665
2016-03-01,16012.128764278295,15850.0,16100.0,16079.63282937365
2016-03-02,16530.39195461578,16470.0,16820.0,16749.633827375765
2016-03-03,16693.05418719212,16690.0,16960.0,16952.543859649122
2016-03-04,16915.92459605027,16860.0,17050.0,17010.228310502283
2016-03-07,16903.101175482792,16740.0,16912.0,16780.533333333333
2016-03-08,16757.558012929567,16430.0,16775.0,16651.821428571428
2016-03-09,16504.32447199748,16360.0,16590.0,16509.846153846152
2016-03-10,16669.27887584929,16570.0,16751.0,16709.3550295858
2016-03-11,16450.610328638497,16420.0,16890.0,16799.885496183208
2016-03-14,17044.22821141057,17010.0,17170.0,17098.991228070176
2016-03-15,17087.246891651866,16900.0,17170.0,16980.36144578313
2016-03-16,16850.815331010454,16810.0,16970.0,16844.252136752137
2016-03-17,16965.080492424244,16670.0,17120.0,16792.401500938086
2016-03-18,16755.620767494358,16470.0,16790.0,16590.844155844155
2016-03-22,16831.07341772152,16710.0,16980.0,16902.93453724605
2016-03-23,16930.186855670105,16820.0,17010.0,16871.20996441281
2016-03-24,16821.739488870568,16700.0,16920.0,16758.75236294896
2016-03-25,16813.439041578582,16750.0,16900.0,16862.117117117115
2016-03-28,17000.478624535313,16820.0,17040.0,16968.866768759566
2016-03-29,16964.319005696532,16930.0,17140.0,17088.242038216562
2016-03-30,17056.774420238933,16860.0,17070.0,16873.254593175854
2016-03-31,17007.387559808612,16750.0,17040.0,16759.700598802396
2016-04-01,16715.44309927361,16090.0,16730.0,16142.165178571433
2016-04-04,16088.837920489297,16020.0,16240.0,16100.794223826717
2016-04-05,16041.239717978848,15680.0,16060.0,15705.90206185567
2016-04-06,15716.829268292684,15590.0,15820.0,15711.170483460559
2016-04-07,15720.078226857888,15610.0,15870.0,15737.594339622641
2016-04-08,15482.132054592399,15460.0,16030.0,15823.050847457627
2016-04-11,15752.591894439209,15510.0,15780.0,15760.022371364654
2016-04-12,15714.754760530872,15690.0,15980.0,15931.659292035398
2016-04-13,16152.426152028356,16130.0,16410.0,16379.67845659164
2016-04-14,16657.736170212767,16610.0,16910.0,16887.462235649546
2016-04-15,16723.99014778325,16710.0,16930.0,16809.66049382716
2016-04-18,16244.096559699336,16230.0,16440.0,16277.880794701987
2016-04-19,16740.818988002087,16720.0,16900.0,16887.176820208024
2016-04-20,17040.384615384617,16870.0,17110.0,16908.43220338983
2016-04-21,17278.72431174874,17170.0,17390.0,17354.599627560518
2016-04-22,17205.399084900866,17190.0,17580.0,17556.308724832215
2016-04-25,17625.03181189488,17400.0,17630.0,17435.342105263157
2016-04-26,17368.054679284964,17190.0,17430.0,17344.620689655174
2016-04-27,17391.174068402244,17230.0,17430.0,17308.699551569505
2016-04-28,17470.224719101123,16540.0,17580.0,16655.68385650224
2016-05-02,15965.162190442968,15940.0,16160.0,16145.821782178218
2016-05-06,16205.77221438646,15980.0,16270.0,16098.447653429605
2016-05-09,16217.556517556515,16140.0,16290.0,16221.938775510205
2016-05-10,16290.152091254751,16220.0,16580.0,16559.250693802034
2016-05-11,16730.911174785102,16520.0,16820.0,16572.82426778243
2016-05-12,16441.54792196777,16360.0,16660.0,16630.97949886105
2016-05-13,16780.714285714286,16390.0,16790.0,16399.68
2016-05-16,16427.697986577186,16400.0,16670.0,16460.44444444444
2016-05-17,16616.07898448519,16500.0,16660.0,16651.092783505155
2016-05-18,16609.168858495534,16500.0,16800.0,16652.34899328859
2016-05-19,16805.64,16590.0,16840.0,16649.96732026144
2016-05-20,16598.31313131313,16540.0,16780.0,16747.766990291264
2016-05-23,16682.468443197755,16410.0,16700.0,16649.75
2016-05-24,16596.783819628647,16460.0,16610.0,16480.449438202246
2016-05-25,16808.63247863248,16720.0,16820.0,16758.05924412666
2016-05-26,16949.44444444444,16730.0,16970.0,16768.203125
2016-05-27,16845.094110503946,16790.0,16910.0,16838.216216216217
2016-05-30,16978.763368983957,16900.0,17080.0,17066.729323308267
2016-05-31,17019.21848739496,16980.0,17260.0,17239.213197969544
2016-06-01,17099.67987804878,16900.0,17160.0,16939.053398058248
2016-06-02,16818.191616766468,16520.0,16820.0,16560.43674698795
2016-06-03,16602.656800563782,16540.0,16710.0,16630.4
2016-06-06,16274.930774503084,16250.0,16534.0,16531.811023622042
2016-06-07,16582.36105769231,16490.0,16655.0,16611.24087591241
2016-06-08,16666.637614054198,16528.0,16780.0,16770.96052631579
2016-06-09,16690.45130315501,16536.0,16740.0,16619.228187919463
2016-06-10,16598.50602409639,16450.0,16610.0,16550.804953560368
2016-06-13,16256.5126870527,15980.0,16270.0,15993.179396092359
2016-06-14,15950.716129032258,15710.0,16040.0,15809.56611570248
2016-06-15,15750.889733840306,15700.0,15970.0,15889.549549549549
2016-06-16,15820.186791194132,15340.0,15870.0,15378.924302788846
2016-06-17,15621.121236133122,15530.0,15740.0,15566.60583941606
2016-06-20,15821.345490389353,15810.0,16000.0,15924.48275862069
2016-06-21,15808.173418621182,15710.0,16160.0,16119.333333333336
2016-06-22,16047.952956134774,15930.0,16120.0,16029.227722772275
2016-06-23,16056.856906534324,16000.0,16220.0,16179.624060150376
2016-06-24,16292.62276140959,14790.0,16360.0,14870.111336032387
2016-06-27,15118.024891774892,14990.0,15290.0,15271.324228028503
2016-06-28,15066.531791907517,14960.0,15430.0,15303.821752265862
2016-06-29,15517.980364656381,15360.0,15600.0,15535.557275541796
2016-06-30,15749.157239819004,15570.0,15760.0,15584.054373522458
2016-07-01,15686.982167352538,15590.0,15740.0,15649.981273408239
2016-07-04,15551.197466896949,15540.0,15780.0,15725.281306715064
2016-07-05,15651.940163191297,15570.0,15690.0,15639.148936170212
2016-07-06,15369.756969263759,15140.0,15410.0,15348.618181818181
2016-07-07,15336.935724962632,15210.0,15400.0,15241.612244897959
2016-07-08,15297.734741784036,15090.0,15380.0,15093.012958963283
2016-07-11,15456.79554774458,15450.0,15800.0,15705.436046511628
2016-07-12,16004.0556303275,16000.0,16230.0,16059.428571428567
2016-07-13,16441.90966719493,16180.0,16460.0,16199.69639468691
2016-07-14,16229.473684210527,16210.0,16400.0,16386.738768718802
2016-07-15,16451.421825813217,16390.0,16590.0,16490.814332247555
2016-07-19,16602.28215767635,16490.0,16710.0,16706.086261980832
2016-07-20,16615.6993736952,16530.0,16680.0,16650.389105058366
2016-07-21,16869.139072847684,16710.0,16930.0,16779.581993569132
2016-07-22,16577.1044467425,16540.0,16680.0,16584.844192634562
2016-07-25,16644.79933110368,16590.0,16770.0,16601.197916666668
2016-07-26,16509.802130898017,16290.0,16540.0,16380.075414781297
2016-07-27,16557.55319148936,16520.0,16830.0,16667.595375722543
2016-07-28,16577.469670710572,16430.0,16610.0,16460.03724394786
2016-07-29,16402.72975432211,15910.0,16700.0,16544.025270758124
2016-08-01,16339.333967649858,16300.0,16660.0,16606.546052631584
2016-08-02,16438.445040214476,16360.0,16520.0,16370.6161971831
2016-08-03,16155.103092783504,16030.0,16260.0,16045.538194444443
2016-08-04,16131.767151767152,15880.0,16250.0,16229.909638554216
2016-08-05,16260.355411954766,16200.0,16340.0,16228.90625
2016-08-08,16500.696202531646,16470.0,16630.0,16621.84971098266
2016-08-09,16620.53672316384,16610.0,16760.0,16746.425531914894
2016-08-10,16673.08510638298,16630.0,16810.0,16698.57509627728
2016-08-12,16850.359524499854,16810.0,16930.0,16894.877192982458
2016-08-15,16855.298013245032,16830.0,16930.0,16849.243697478993
2016-08-16,16862.0625,16580.0,16880.0,16595.808383233532
2016-08-17,16594.003690036898,16580.0,16750.0,16739.80769230769
2016-08-18,16609.816513761467,16460.0,16730.0,16479.426229508197
2016-08-19,16544.72463768116,16430.0,16600.0,16524.43076923077
2016-08-22,16582.95238095238,16520.0,16610.0,16579.953703703704
2016-08-23,16529.922480620156,16430.0,16650.0,16469.86111111111
2016-08-24,16597.197674418603,16520.0,16630.0,16566.918604651164
2016-08-25,16572.412587412586,16510.0,16650.0,16548.956228956227
2016-08-26,16483.467741935485,16320.0,16500.0,16369.164420485176
2016-08-29,16687.932095971028,16660.0,16780.0,16739.083094555874
2016-08-30,16700.102040816328,16680.0,16760.0,16739.293849658316
2016-08-31,16863.09239842726,16840.0,16920.0,16898.88888888889
2016-09-01,16890.602836879432,16860.0,16950.0,16909.685990338163
2016-09-02,16899.818627450983,16850.0,16950.0,16910.855445544556
2016-09-05,17009.068965517243,16880.0,17030.0,16892.941176470587
2016-09-06,16900.276158445442,16900.0,16970.0,16948.529411764706
